row_id,ESE_total,log10_revenue,revenue_cat_2022
6,22,6.698970004336019,"$1,000,001 - $5,000,000"
8,19,5.301029995663981,"$125,001 - $200,000"
25,37,6.698970004336019,"$1,000,001 - $5,000,000"
34,42,5.698970004336019,"$200,001 - $500,000"
37,29,6,"$500,001 - $1,000,000"
43,21,5.698970004336019,"$200,001 - $500,000"
51,24,5.096910013008056,"$50,001 - $125,000"
57,26,6,"$500,001 - $1,000,000"
59,22,4.3979,"$5,001 - $25,000"
63,29,4.699,"$25,001 - $50,000"
72,41,4.3979,"$5,001 - $25,000"
74,17,5.698970004336019,"$200,001 - $500,000"
80,15,7,"$5,000,001 - $10,000,000"
83,16,6.698970004336019,"$1,000,001 - $5,000,000"
84,6,3.699,"$0 - $5,000"
87,42,6.698970004336019,"$1,000,001 - $5,000,000"
93,30,3.699,"$0 - $5,000"
94,22,5.698970004336019,"$200,001 - $500,000"
102,24,5.301029995663981,"$125,001 - $200,000"
106,22,6.698970004336019,"$1,000,001 - $5,000,000"
112,42,6.698970004336019,"$1,000,001 - $5,000,000"
119,15,5.301029995663981,"$125,001 - $200,000"
146,42,3.699,"$0 - $5,000"
147,25,6.698970004336019,"$1,000,001 - $5,000,000"
150,24,5.301029995663981,"$125,001 - $200,000"
152,23,5.698970004336019,"$200,001 - $500,000"
158,8,5.096910013008056,"$50,001 - $125,000"
172,36,6,"$500,001 - $1,000,000"
175,35,8,"$10,000,001 or more"
181,27,4.699,"$25,001 - $50,000"
183,26,5.096910013008056,"$50,001 - $125,000"
189,6,5.698970004336019,"$200,001 - $500,000"
198,0,3.699,"$0 - $5,000"
201,41,5.698970004336019,"$200,001 - $500,000"
224,26,6,"$500,001 - $1,000,000"
241,28,6.698970004336019,"$1,000,001 - $5,000,000"
251,37,6,"$500,001 - $1,000,000"
272,9,5.301029995663981,"$125,001 - $200,000"
284,12,3.699,"$0 - $5,000"
354,0,7,"$5,000,001 - $10,000,000"
369,31,3.699,"$0 - $5,000"
383,14,6,"$500,001 - $1,000,000"
477,21,4.3979,"$5,001 - $25,000"
508,34,5.301029995663981,"$125,001 - $200,000"
519,0,6.698970004336019,"$1,000,001 - $5,000,000"
522,35,8,"$10,000,001 or more"
527,27,5.096910013008056,"$50,001 - $125,000"
545,42,5.698970004336019,"$200,001 - $500,000"
558,15,5.301029995663981,"$125,001 - $200,000"
562,37,5.698970004336019,"$200,001 - $500,000"
576,19,6.698970004336019,"$1,000,001 - $5,000,000"
592,21,6.698970004336019,"$1,000,001 - $5,000,000"
598,20,6,"$500,001 - $1,000,000"
604,22,5.301029995663981,"$125,001 - $200,000"
613,34,6,"$500,001 - $1,000,000"
614,0,6.698970004336019,"$1,000,001 - $5,000,000"
618,26,5.698970004336019,"$200,001 - $500,000"
624,15,6.698970004336019,"$1,000,001 - $5,000,000"
635,27,5.698970004336019,"$200,001 - $500,000"
636,15,3.699,"$0 - $5,000"
637,23,6.698970004336019,"$1,000,001 - $5,000,000"
648,26,5.301029995663981,"$125,001 - $200,000"
650,24,5.301029995663981,"$125,001 - $200,000"
651,20,5.698970004336019,"$200,001 - $500,000"
653,37,6.698970004336019,"$1,000,001 - $5,000,000"
657,37,5.698970004336019,"$200,001 - $500,000"
658,31,6,"$500,001 - $1,000,000"
660,2,5.096910013008056,"$50,001 - $125,000"
661,42,6,"$500,001 - $1,000,000"
662,0,4.699,"$25,001 - $50,000"
667,21,3.699,"$0 - $5,000"
695,25,5.096910013008056,"$50,001 - $125,000"
707,39,5.698970004336019,"$200,001 - $500,000"
711,21,6,"$500,001 - $1,000,000"
730,32,8,"$10,000,001 or more"
739,28,5.301029995663981,"$125,001 - $200,000"
747,7,5.698970004336019,"$200,001 - $500,000"
752,31,6,"$500,001 - $1,000,000"
768,24,5.301029995663981,"$125,001 - $200,000"
787,11,5.698970004336019,"$200,001 - $500,000"
792,21,5.096910013008056,"$50,001 - $125,000"
798,33,5.698970004336019,"$200,001 - $500,000"
799,38,5.301029995663981,"$125,001 - $200,000"
834,22,6.698970004336019,"$1,000,001 - $5,000,000"
928,22,5.698970004336019,"$200,001 - $500,000"
967,39,7,"$5,000,001 - $10,000,000"
1060,35,6,"$500,001 - $1,000,000"
1118,38,4.699,"$25,001 - $50,000"
1128,25,5.301029995663981,"$125,001 - $200,000"
1131,29,8,"$10,000,001 or more"
1133,34,6.698970004336019,"$1,000,001 - $5,000,000"
1136,35,5.698970004336019,"$200,001 - $500,000"
1137,16,4.3979,"$5,001 - $25,000"
1151,26,5.698970004336019,"$200,001 - $500,000"
1155,41,4.3979,"$5,001 - $25,000"
1156,16,5.698970004336019,"$200,001 - $500,000"
1166,40,5.698970004336019,"$200,001 - $500,000"
1168,18,6.698970004336019,"$1,000,001 - $5,000,000"
1172,28,3.699,"$0 - $5,000"
1182,28,6.698970004336019,"$1,000,001 - $5,000,000"
1184,2,4.3979,"$5,001 - $25,000"
1185,21,5.698970004336019,"$200,001 - $500,000"
1190,21,5.698970004336019,"$200,001 - $500,000"
1204,14,5.698970004336019,"$200,001 - $500,000"
1210,36,5.096910013008056,"$50,001 - $125,000"
1214,1,6.698970004336019,"$1,000,001 - $5,000,000"
1222,30,6.698970004336019,"$1,000,001 - $5,000,000"
1225,28,3.699,"$0 - $5,000"
1234,34,5.698970004336019,"$200,001 - $500,000"
1241,34,6,"$500,001 - $1,000,000"
1245,9,5.698970004336019,"$200,001 - $500,000"
1246,17,5.096910013008056,"$50,001 - $125,000"
1247,25,5.096910013008056,"$50,001 - $125,000"
1249,20,6.698970004336019,"$1,000,001 - $5,000,000"
1250,33,5.698970004336019,"$200,001 - $500,000"
1253,0,5.096910013008056,"$50,001 - $125,000"
1256,19,5.301029995663981,"$125,001 - $200,000"
1257,27,5.096910013008056,"$50,001 - $125,000"
1272,32,6,"$500,001 - $1,000,000"
1277,22,6.698970004336019,"$1,000,001 - $5,000,000"
1287,21,5.096910013008056,"$50,001 - $125,000"
1289,6,5.698970004336019,"$200,001 - $500,000"
1290,24,6.698970004336019,"$1,000,001 - $5,000,000"
1292,21,6,"$500,001 - $1,000,000"
1293,40,5.698970004336019,"$200,001 - $500,000"
1300,10,5.698970004336019,"$200,001 - $500,000"
1310,14,6,"$500,001 - $1,000,000"
1327,38,5.096910013008056,"$50,001 - $125,000"
1357,11,4.3979,"$5,001 - $25,000"
1366,35,4.3979,"$5,001 - $25,000"
1372,16,6.698970004336019,"$1,000,001 - $5,000,000"
1373,5,3.699,"$0 - $5,000"
1379,31,5.096910013008056,"$50,001 - $125,000"
1380,24,6,"$500,001 - $1,000,000"
1382,38,3.699,"$0 - $5,000"
1383,30,5.698970004336019,"$200,001 - $500,000"
1384,25,7,"$5,000,001 - $10,000,000"
1387,41,4.699,"$25,001 - $50,000"
1389,39,5.096910013008056,"$50,001 - $125,000"
1399,27,5.096910013008056,"$50,001 - $125,000"
1400,0,5.096910013008056,"$50,001 - $125,000"
1408,31,5.096910013008056,"$50,001 - $125,000"
1484,15,6,"$500,001 - $1,000,000"
1584,28,6,"$500,001 - $1,000,000"
1706,25,5.698970004336019,"$200,001 - $500,000"
1756,35,4.699,"$25,001 - $50,000"
1759,27,6.698970004336019,"$1,000,001 - $5,000,000"
