row_id,ESE_total,log10_revenue
6,43,6.699
8,40,5.301
25,58,6.699
34,63,5.699
37,50,6
43,42,5.699
51,45,5.0969
57,47,6
59,43,4.3979
63,50,4.699
72,62,4.3979
74,38,5.699
80,36,7
83,37,6.699
84,27,3.699
87,63,6.699
93,51,3.699
94,43,5.699
102,45,5.301
106,43,6.699
112,63,6.699
119,36,5.301
146,63,3.699
147,46,6.699
150,45,5.301
152,44,5.699
158,29,5.0969
172,57,6
175,56,8
181,48,4.699
183,47,5.0969
189,27,5.699
198,21,3.699
201,62,5.699
224,47,6
241,49,6.699
251,58,6
272,30,5.301
284,33,3.699
354,21,7
369,52,3.699
383,35,6
477,42,4.3979
508,55,5.301
519,21,6.699
522,56,8
527,48,5.0969
545,63,5.699
558,36,5.301
562,58,5.699
576,40,6.699
592,42,6.699
598,41,6
604,43,5.301
613,55,6
614,21,6.699
618,47,5.699
624,36,6.699
635,48,5.699
636,36,3.699
637,44,6.699
648,47,5.301
650,45,5.301
651,41,5.699
653,58,6.699
657,58,5.699
658,52,6
660,23,5.0969
661,63,6
662,21,4.699
667,42,3.699
695,46,5.0969
707,60,5.699
711,42,6
730,53,8
739,49,5.301
747,28,5.699
752,52,6
768,45,5.301
787,32,5.699
792,42,5.0969
798,54,5.699
799,59,5.301
834,43,6.699
928,43,5.699
967,60,7
1060,56,6
1118,59,4.699
1128,46,5.301
1131,50,8
1133,55,6.699
1136,56,5.699
1137,37,4.3979
1151,47,5.699
1155,62,4.3979
1156,37,5.699
1166,61,5.699
1168,39,6.699
1172,49,3.699
1182,49,6.699
1184,23,4.3979
1185,42,5.699
1190,42,5.699
1204,35,5.699
1210,57,5.0969
1214,22,6.699
1222,51,6.699
1225,49,3.699
1234,55,5.699
1241,55,6
1245,30,5.699
1246,38,5.0969
1247,46,5.0969
1249,41,6.699
1250,54,5.699
1253,21,5.0969
1256,40,5.301
1257,48,5.0969
1272,53,6
1277,43,6.699
1287,42,5.0969
1289,27,5.699
1290,45,6.699
1292,42,6
1293,61,5.699
1300,31,5.699
1310,35,6
1327,59,5.0969
1357,32,4.3979
1366,56,4.3979
