row_id,owner_founder,work_fulltime,revenue_cat_2022,log10_revenue,Task Mastery_1,Task Mastery_2,Task Mastery_3,Task Mastery_4,Task Mastery_5,Task Mastery_6,Task Mastery_7,Task Mastery_8,Task Mastery_9,Task Mastery_10,Task Mastery_11,Task Mastery_12,Task Mastery_13,Task Mastery_14,Task Mastery_15,Task Mastery_16,Task Mastery_17,Task Mastery_18,Task Mastery_19,Task Mastery_20,Task Mastery_21,ESE_answered_items,ESE_missing_items
3133,"Yes, owner and founder",Working for my own business full-time,"$10,000,001 or more",8,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0
5142,"Yes, owner and founder",Working for my own business full-time,"$10,000,001 or more",8,2,0,0,1,0,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,21,0
80,"Yes, owner and founder",Working for my own business full-time,"$5,000,001 - $10,000,000",7,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,1,1,1,1,21,0
354,"Yes, owner and founder",Working for my own business full-time,"$5,000,001 - $10,000,000",7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0
3522,"Yes, owner and founder",Working for my own business full-time,"$5,000,001 - $10,000,000",7,2,1,2,0,2,1,1,1,0,0,1,1,1,0,1,1,0,1,1,1,2,21,0
83,"Yes, owner and founder",Working for my own business full-time,"$1,000,001 - $5,000,000",6.698970004336019,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,2,1,1,1,1,21,0
519,"Yes, owner and founder",Working for my own business full-time,"$1,000,001 - $5,000,000",6.698970004336019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0
576,"Yes, owner and founder",Working for my own business full-time,"$1,000,001 - $5,000,000",6.698970004336019,2,2,0,0,0,0,0,0,0,2,0,0,0,2,2,2,2,2,2,1,0,21,0
614,"Yes, owner and founder",Working for my own business full-time,"$1,000,001 - $5,000,000",6.698970004336019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0
624,"Yes, owner and founder",Working for my own business full-time,"$1,000,001 - $5,000,000",6.698970004336019,1,1,1,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,2,2,2,21,0
1168,"Yes, owner and founder",Working for my own business full-time,"$1,000,001 - $5,000,000",6.698970004336019,2,2,0,0,0,0,2,0,2,2,0,2,0,0,2,0,0,2,2,0,0,21,0
1214,"Yes, owner and founder",Working for my own business full-time,"$1,000,001 - $5,000,000",6.698970004336019,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0
1249,"Yes, owner and founder",Working for my own business full-time,"$1,000,001 - $5,000,000",6.698970004336019,1,1,2,1,0,1,1,0,1,0,1,0,1,1,2,1,1,2,1,1,1,21,0
1372,"Yes, owner only",Working for my own business full-time,"$1,000,001 - $5,000,000",6.698970004336019,1,0,0,1,0,1,0,1,1,0,1,1,0,0,0,1,1,1,2,2,2,21,0
1987,"Yes, owner and founder",Working for my own business full-time,"$1,000,001 - $5,000,000",6.698970004336019,0,0,0,0,0,0,2,1,2,1,0,0,1,1,1,1,1,1,1,1,1,21,0
3560,"Yes, owner and founder",Working for my own business full-time,"$1,000,001 - $5,000,000",6.698970004336019,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,21,0
4869,"Yes, owner and founder",Working for my own business full-time,"$1,000,001 - $5,000,000",6.698970004336019,2,2,2,2,2,0,0,0,1,0,0,1,1,0,0,1,1,1,0,1,2,21,0
5382,"Yes, owner only",Working for my own business full-time,"$1,000,001 - $5,000,000",6.698970004336019,0,0,0,1,1,0,0,1,1,1,1,0,0,0,1,0,1,1,1,0,0,21,0
