row_id,owner_founder,Current Work Status_3,revenue_cat_2022,log10_revenue,Task Mastery_1,Task Mastery_2,Task Mastery_3,Task Mastery_4,Task Mastery_5,Task Mastery_6,Task Mastery_7,Task Mastery_8,Task Mastery_9,Task Mastery_10,Task Mastery_11,Task Mastery_12,Task Mastery_13,Task Mastery_14,Task Mastery_15,Task Mastery_16,Task Mastery_17,Task Mastery_18,Task Mastery_19,Task Mastery_20,Task Mastery_21,ESE_answered_items,ESE_missing_items
2350,"Yes, owner and founder",Working for my own business full-time,"$10,000,001 or more",8,1,1,1,3,3,1,1,1,1,1,1,1,4,1,3,3,3,3,3,3,3,20,0
3133,"Yes, owner and founder",Working for my own business full-time,"$10,000,001 or more",8,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,21,0
5142,"Yes, owner and founder",Working for my own business full-time,"$10,000,001 or more",8,3,1,1,2,1,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,2,21,0
80,"Yes, owner and founder",Working for my own business full-time,"$5,000,001 - $10,000,000",7,2,2,2,2,2,2,2,2,2,2,1,1,2,1,1,1,1,2,2,2,2,21,0
354,"Yes, owner and founder",Working for my own business full-time,"$5,000,001 - $10,000,000",7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,21,0
3522,"Yes, owner and founder",Working for my own business full-time,"$5,000,001 - $10,000,000",7,3,2,3,1,3,2,2,2,1,1,2,2,2,1,2,2,1,2,2,2,3,21,0
3224,"Yes, owner and founder",Working for my own business full-time,"$1,000,001 - $5,000,000",6.699,4,4,4,4,4,3,4,4,4,4,4,4,3,3,3,3,3,3,4,4,4,7,0
97,"Yes, owner and founder",Working for my own business full-time,"$1,000,001 - $5,000,000",6.699,4,4,4,4,4,3,4,3,4,4,3,4,3,3,3,3,3,3,3,3,3,12,0
3440,"Yes, owner and founder",Working for my own business full-time,"$1,000,001 - $5,000,000",6.699,3,3,3,3,4,3,4,4,4,4,4,3,3,3,3,4,3,3,3,3,3,14,0
5230,"Yes, owner and founder",Working for my own business full-time,"$1,000,001 - $5,000,000",6.699,2,2,3,4,4,3,3,4,4,4,4,4,3,3,3,3,3,3,2,3,3,14,0
81,"Yes, owner only",Working for my own business full-time,"$1,000,001 - $5,000,000",6.699,4,4,4,4,1,1,1,1,2,1,2,2,2,2,2,2,1,1,1,1,2,17,0
506,"Yes, owner only",Working for my own business full-time,"$1,000,001 - $5,000,000",6.699,1,2,2,2,4,2,2,4,2,1,2,2,2,2,4,2,3,3,3,2,2,18,0
2947,"Yes, owner and founder",Working for my own business full-time,"$1,000,001 - $5,000,000",6.699,2,3,2,1,1,2,1,3,4,4,2,4,3,3,3,2,3,3,3,2,3,18,0
250,"Yes, owner and founder",Working for my own business full-time,"$1,000,001 - $5,000,000",6.699,3,3,3,3,1,1,1,1,2,2,4,1,2,2,2,3,3,3,1,2,3,20,0
3534,"Yes, owner and founder",Working for my own business full-time,"$1,000,001 - $5,000,000",6.699,2,2,2,2,2,3,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,20,0
5155,"Yes, owner and founder",Working for my own business full-time,"$1,000,001 - $5,000,000",6.699,2,2,2,3,2,1,1,1,1,4,2,3,2,3,3,3,2,2,2,2,2,20,0
83,"Yes, owner and founder",Working for my own business full-time,"$1,000,001 - $5,000,000",6.699,2,2,2,2,2,1,1,1,1,1,1,2,2,2,2,2,3,2,2,2,2,21,0
519,"Yes, owner and founder",Working for my own business full-time,"$1,000,001 - $5,000,000",6.699,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,21,0
576,"Yes, owner and founder",Working for my own business full-time,"$1,000,001 - $5,000,000",6.699,3,3,1,1,1,1,1,1,1,3,1,1,1,3,3,3,3,3,3,2,1,21,0
592,"Yes, owner only",Working for my own business full-time,"$1,000,001 - $5,000,000",6.699,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,21,0
614,"Yes, owner and founder",Working for my own business full-time,"$1,000,001 - $5,000,000",6.699,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,21,0
624,"Yes, owner and founder",Working for my own business full-time,"$1,000,001 - $5,000,000",6.699,2,2,2,1,1,1,1,1,1,1,1,1,1,3,3,1,1,3,3,3,3,21,0
1168,"Yes, owner and founder",Working for my own business full-time,"$1,000,001 - $5,000,000",6.699,3,3,1,1,1,1,3,1,3,3,1,3,1,1,3,1,1,3,3,1,1,21,0
1214,"Yes, owner and founder",Working for my own business full-time,"$1,000,001 - $5,000,000",6.699,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,21,0
1249,"Yes, owner and founder",Working for my own business full-time,"$1,000,001 - $5,000,000",6.699,2,2,3,2,1,2,2,1,2,1,2,1,2,2,3,2,2,3,2,2,2,21,0
1372,"Yes, owner only",Working for my own business full-time,"$1,000,001 - $5,000,000",6.699,2,1,1,2,1,2,1,2,2,1,2,2,1,1,1,2,2,2,3,3,3,21,0
1987,"Yes, owner and founder",Working for my own business full-time,"$1,000,001 - $5,000,000",6.699,1,1,1,1,1,1,3,2,3,2,1,1,2,2,2,2,2,2,2,2,2,21,0
